user_id,variant_group,timestamp
USR_000001,Control,2026-05-03 14:46:17.967009
USR_000002,Variant,2026-05-03 07:55:45.235801
USR_000003,Variant,2026-05-02 05:35:37.886282
USR_000004,Variant,2026-05-05 06:01:14.882077
USR_000005,Control,2026-05-04 08:04:22.292276
USR_000006,Control,2026-05-07 01:26:15.960158
USR_000007,Control,2026-05-01 05:23:39.874276
USR_000008,Variant,2026-05-05 12:10:11.322585
USR_000009,Variant,2026-05-06 08:10:31.481724
USR_000010,Variant,2026-05-06 07:35:37.477045
USR_000011,Control,2026-05-07 04:51:37.535299
USR_000012,Variant,2026-05-06 02:28:39.607663
USR_000013,Variant,2026-05-07 11:52:19.525285
USR_000014,Control,2026-05-03 07:53:10.711572
USR_000015,Control,2026-05-04 12:32:21.055251
USR_000016,Control,2026-05-01 02:21:55.380353
USR_000017,Control,2026-05-01 01:10:07.948801
USR_000018,Variant,2026-05-02 16:20:28.580049
USR_000019,Control,2026-05-01 16:56:08.192830
USR_000020,Control,2026-05-02 19:42:55.835328
USR_000021,Variant,2026-05-02 05:44:35.784531
USR_000022,Control,2026-05-01 04:47:28.911022
USR_000023,Control,2026-05-07 08:45:47.147746
USR_000024,Control,2026-05-01 01:22:53.349864
USR_000025,Control,2026-05-06 03:39:42.480895
USR_000026,Variant,2026-05-02 01:33:39.042009
USR_000027,Control,2026-05-07 09:15:16.475385
USR_000028,Variant,2026-05-07 05:59:22.984264
USR_000029,Variant,2026-05-05 13:51:19.413324
USR_000030,Control,2026-05-05 16:56:07.213799
USR_000031,Variant,2026-05-01 00:53:49.113063
USR_000032,Control,2026-05-07 21:27:30.323186
USR_000033,Control,2026-05-07 03:28:33.158643
USR_000034,Variant,2026-05-07 06:22:40.245322
USR_000035,Variant,2026-05-05 14:45:11.096008
USR_000036,Variant,2026-05-03 09:55:27.134450
USR_000037,Control,2026-05-07 06:07:58.702970
USR_000038,Control,2026-05-03 00:58:29.438146
USR_000039,Variant,2026-05-04 22:32:07.941413
USR_000040,Control,2026-05-01 16:45:17.292074
USR_000041,Control,2026-05-07 10:53:18.765104
USR_000042,Control,2026-05-01 23:38:57.972860
USR_000043,Control,2026-05-02 13:46:57.588106
USR_000044,Variant,2026-05-04 21:45:59.538836
USR_000045,Control,2026-05-06 08:22:03.446529
USR_000046,Variant,2026-05-05 08:03:03.669830
USR_000047,Control,2026-05-02 14:59:54.590462
USR_000048,Variant,2026-05-01 00:09:30.352121
USR_000049,Variant,2026-05-06 07:12:04.670970
USR_000050,Control,2026-05-07 21:30:53.390711
USR_000051,Variant,2026-05-06 16:03:55.455161
USR_000052,Variant,2026-05-04 05:18:52.962661
USR_000053,Variant,2026-05-07 07:49:58.439694
USR_000054,Variant,2026-05-03 20:51:15.872702
USR_000055,Variant,2026-05-04 16:11:20.134150
USR_000056,Variant,2026-05-04 08:09:28.083321
USR_000057,Control,2026-05-04 03:12:02.918188
USR_000058,Control,2026-05-06 10:13:55.377269
USR_000059,Control,2026-05-04 16:29:49.835117
USR_000060,Control,2026-05-03 05:12:30.515401
USR_000061,Control,2026-05-02 19:22:14.059800
USR_000062,Control,2026-05-01 06:20:29.577302
USR_000063,Variant,2026-05-05 01:58:36.433907
USR_000064,Control,2026-05-02 14:38:00.664035
USR_000065,Control,2026-05-02 00:53:11.396036
USR_000066,Variant,2026-05-05 13:50:36.362123
USR_000067,Control,2026-05-05 18:26:35.359130
USR_000068,Variant,2026-05-06 06:21:43.278837
USR_000069,Control,2026-05-04 12:36:03.306906
USR_000070,Variant,2026-05-07 06:12:04.225227
USR_000071,Variant,2026-05-07 13:18:20.097255
USR_000072,Control,2026-05-06 15:38:17.944386
USR_000073,Control,2026-05-05 10:46:46.937919
USR_000074,Variant,2026-05-03 03:01:30.432732
USR_000075,Variant,2026-05-07 21:08:05.088596
USR_000076,Variant,2026-05-02 22:03:17.553918
USR_000077,Variant,2026-05-02 10:02:46.906420
USR_000078,Control,2026-05-04 02:16:54.808018
USR_000079,Control,2026-05-01 09:32:57.177167
USR_000080,Control,2026-05-07 20:23:13.452233
USR_000081,Variant,2026-05-05 02:51:24.614921
USR_000082,Variant,2026-05-04 21:34:04.625038
